# step,train_loss,test_loss,train_acc,test_acc
1.000000000000000000e+02,4.790657997131347656e+00,4.761340141296386719e+00,1.785714285714285615e-02,8.040096063485433972e-03
2.000000000000000000e+02,4.759914398193359375e+00,4.756936550140380859e+00,0.000000000000000000e+00,8.353346559465386553e-03
3.000000000000000000e+02,4.812961101531982422e+00,4.808281898498535156e+00,0.000000000000000000e+00,5.534092095645818526e-03
4.000000000000000000e+02,4.772929191589355469e+00,4.916039943695068359e+00,1.785714285714285615e-02,3.341338623786154361e-03
5.000000000000000000e+02,4.488369464874267578e+00,5.037488937377929688e+00,1.785714285714285615e-02,2.088336639866346638e-03
6.000000000000000000e+02,4.465301513671875000e+00,5.134616851806640625e+00,3.571428571428571230e-02,1.357418815913125250e-03
7.000000000000000000e+02,4.350038051605224609e+00,5.217493534088134766e+00,1.785714285714285615e-02,1.253001983919807940e-03
8.000000000000000000e+02,3.996676683425903320e+00,5.175735950469970703e+00,1.071428571428571369e-01,2.401587135846298352e-03
9.000000000000000000e+02,3.658238887786865234e+00,4.567283153533935547e+00,1.607142857142857262e-01,8.353346559465386553e-03
1.000000000000000000e+03,2.904914379119873047e+00,3.853852272033691406e+00,2.678571428571428492e-01,2.652187532630259983e-02
1.100000000000000000e+03,2.663984537124633789e+00,3.534530639648437500e+00,2.142857142857142738e-01,4.928474470084577563e-02
1.200000000000000000e+03,1.889603614807128906e+00,2.612663269042968750e+00,5.535714285714286031e-01,1.690508509971807571e-01
1.300000000000000000e+03,1.490854382514953613e+00,2.407438755035400391e+00,7.321428571428570953e-01,2.000626500991959933e-01
1.400000000000000000e+03,1.376802682876586914e+00,2.320967197418212891e+00,6.607142857142856984e-01,2.101910828025477795e-01
1.500000000000000000e+03,1.024214029312133789e+00,2.388800859451293945e+00,8.928571428571429047e-01,1.886812154119243967e-01
1.600000000000000000e+03,1.007380366325378418e+00,2.436816453933715820e+00,8.214285714285713969e-01,1.842957084682050883e-01
1.700000000000000000e+03,9.396261572837829590e-01,2.454114675521850586e+00,8.035714285714286031e-01,1.810587866764122311e-01
1.800000000000000000e+03,8.012102246284484863e-01,2.470983982086181641e+00,8.035714285714286031e-01,1.874282134280045864e-01
1.900000000000000000e+03,8.750957250595092773e-01,2.629304170608520508e+00,7.857142857142856984e-01,1.684243500052208520e-01
2.000000000000000000e+03,7.285043001174926758e-01,2.641989231109619141e+00,7.500000000000000000e-01,1.873237965960112827e-01
2.100000000000000000e+03,5.769444704055786133e-01,2.543658494949340820e+00,8.928571428571429047e-01,2.087292471546413342e-01
2.200000000000000000e+03,5.936102867126464844e-01,2.605546236038208008e+00,8.571428571428570953e-01,2.081027461626814290e-01
2.300000000000000000e+03,3.918747901916503906e-01,2.334129333496093750e+00,9.821428571428570953e-01,2.637569176151195460e-01
2.400000000000000000e+03,2.123355567455291748e-01,1.541063547134399414e+00,9.642857142857143016e-01,4.961887856322439450e-01
2.500000000000000000e+03,9.811150282621383667e-02,6.571975350379943848e-01,1.000000000000000000e+00,8.282343113709930149e-01
2.600000000000000000e+03,2.475057356059551239e-02,2.012897729873657227e-01,1.000000000000000000e+00,9.847551425289756688e-01
2.700000000000000000e+03,1.319331768900156021e-02,8.741163462400436401e-02,1.000000000000000000e+00,9.980160801921269531e-01
2.800000000000000000e+03,1.390566676855087280e-01,2.370229512453079224e-01,9.642857142857143016e-01,9.631408583063589823e-01
2.900000000000000000e+03,9.764717891812324524e-03,2.383119426667690277e-02,1.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+03,7.974943146109580994e-03,1.660731062293052673e-02,1.000000000000000000e+00,1.000000000000000000e+00
3.100000000000000000e+03,5.075740162283182144e-03,9.493562392890453339e-03,1.000000000000000000e+00,1.000000000000000000e+00
3.200000000000000000e+03,7.715328782796859741e-02,1.176248714327812195e-01,1.000000000000000000e+00,9.868434791688419638e-01
3.300000000000000000e+03,6.584036629647016525e-03,1.136676315218210220e-02,1.000000000000000000e+00,9.995823326720267854e-01
3.400000000000000000e+03,5.602931138128042221e-03,8.826158940792083740e-03,1.000000000000000000e+00,9.997911663360133927e-01
3.500000000000000000e+03,3.369472920894622803e-03,5.037709604948759079e-03,1.000000000000000000e+00,9.998955831680066408e-01
3.600000000000000000e+03,2.012820681557059288e-03,2.479197224602103233e-03,1.000000000000000000e+00,1.000000000000000000e+00
3.700000000000000000e+03,2.511789835989475250e-02,3.098956681787967682e-02,1.000000000000000000e+00,9.989558316800668525e-01
3.800000000000000000e+03,5.312771070748567581e-03,7.884999737143516541e-03,1.000000000000000000e+00,1.000000000000000000e+00
3.900000000000000000e+03,4.714650567620992661e-03,5.741143599152565002e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+03,3.160007763653993607e-03,3.590932581573724747e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.100000000000000000e+03,1.649424084462225437e-03,1.940714777447283268e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.200000000000000000e+03,1.045454945415258408e-02,1.338485628366470337e-02,1.000000000000000000e+00,9.997911663360133927e-01
4.300000000000000000e+03,2.687189914286136627e-02,4.282879456877708435e-02,1.000000000000000000e+00,9.970763287041871648e-01
4.400000000000000000e+03,1.015224605798721313e-01,1.210564002394676208e-01,1.000000000000000000e+00,9.786989662733632800e-01
4.500000000000000000e+03,4.783607553690671921e-03,5.406083539128303528e-03,1.000000000000000000e+00,1.000000000000000000e+00
