# step,train_loss,test_loss,train_acc,test_acc
1.000000000000000000e+02,4.608880996704101562e+00,4.607069015502929688e+00,0.000000000000000000e+00,8.360493127391243479e-03
2.000000000000000000e+02,4.532140731811523438e+00,4.613035678863525391e+00,1.562500000000000000e-02,8.927306220773699105e-03
3.000000000000000000e+02,4.402338504791259766e+00,4.691162109375000000e+00,3.125000000000000000e-02,4.392801473714042816e-03
4.000000000000000000e+02,4.233682632446289062e+00,4.926719665527343750e+00,6.250000000000000000e-02,2.408955646875442919e-03
5.000000000000000000e+02,3.990710258483886719e+00,5.084006309509277344e+00,6.250000000000000000e-02,9.919229134192999488e-04
6.000000000000000000e+02,3.652572393417358398e+00,5.215774059295654297e+00,9.375000000000000000e-02,1.275329460110528629e-03
7.000000000000000000e+02,3.789492368698120117e+00,5.362001895904541016e+00,1.093750000000000000e-01,8.502196400736857168e-04
8.000000000000000000e+02,3.299440860748291016e+00,5.514398574829101562e+00,2.187500000000000000e-01,1.275329460110528629e-03
9.000000000000000000e+02,2.757503032684326172e+00,5.688098907470703125e+00,3.593750000000000000e-01,1.842142553492985774e-03
1.000000000000000000e+03,2.005657911300659180e+00,5.890869140625000000e+00,5.937500000000000000e-01,2.125549100184214238e-03
1.100000000000000000e+03,1.916042685508728027e+00,6.084412574768066406e+00,6.562500000000000000e-01,3.259175286949128527e-03
1.200000000000000000e+03,1.423762798309326172e+00,6.278252601623535156e+00,7.656250000000000000e-01,1.842142553492985774e-03
1.300000000000000000e+03,8.414008021354675293e-01,6.518462181091308594e+00,9.375000000000000000e-01,3.825988380331585455e-03
1.400000000000000000e+03,1.139693021774291992e+00,6.712227344512939453e+00,8.437500000000000000e-01,3.825988380331585455e-03
1.500000000000000000e+03,6.962730288505554199e-01,6.858314990997314453e+00,9.531250000000000000e-01,5.384724387133343199e-03
1.600000000000000000e+03,4.074842929840087891e-01,6.962970256805419922e+00,9.375000000000000000e-01,6.518350573898257054e-03
1.700000000000000000e+03,5.365111827850341797e-01,7.128310203552246094e+00,9.218750000000000000e-01,7.085163667280714415e-03
1.800000000000000000e+03,4.189262092113494873e-01,7.184741020202636719e+00,9.531250000000000000e-01,7.651976760663170909e-03
1.900000000000000000e+03,3.830558657646179199e-01,7.160527229309082031e+00,9.218750000000000000e-01,6.660053847243871394e-03
2.000000000000000000e+03,1.807944029569625854e-01,7.080640792846679688e+00,1.000000000000000000e+00,7.651976760663170909e-03
2.100000000000000000e+03,3.367310762405395508e-01,6.941160678863525391e+00,9.687500000000000000e-01,1.119455859430352855e-02
2.200000000000000000e+03,2.225842177867889404e-01,6.746534824371337891e+00,9.843750000000000000e-01,1.161966841434037070e-02
2.300000000000000000e+03,1.600115746259689331e-01,6.525512695312500000e+00,1.000000000000000000e+00,1.303670114779651411e-02
2.400000000000000000e+03,2.154987156391143799e-01,6.186365127563476562e+00,1.000000000000000000e+00,2.210571064191582669e-02
2.500000000000000000e+03,2.035240232944488525e-01,5.947502613067626953e+00,9.687500000000000000e-01,1.998016154173161418e-02
2.600000000000000000e+03,1.814182996749877930e-01,5.621861457824707031e+00,9.843750000000000000e-01,3.018279722261584322e-02
2.700000000000000000e+03,1.539155691862106323e-01,5.263602733612060547e+00,9.843750000000000000e-01,3.570922488309479642e-02
2.800000000000000000e+03,1.668506413698196411e-01,5.052410125732421875e+00,9.843750000000000000e-01,4.647867365736148282e-02
2.900000000000000000e+03,2.353084534406661987e-01,4.747420787811279297e+00,9.375000000000000000e-01,5.795663879835624005e-02
3.000000000000000000e+03,1.052475571632385254e-01,4.511399269104003906e+00,9.687500000000000000e-01,6.830097775258608950e-02
3.100000000000000000e+03,1.917959600687026978e-01,3.940733194351196289e+00,9.843750000000000000e-01,9.607481932832648286e-02
3.200000000000000000e+03,9.428307414054870605e-02,3.787457227706909180e+00,9.843750000000000000e-01,1.120872892163808920e-01
3.300000000000000000e+03,1.179254129528999329e-01,3.514312744140625000e+00,1.000000000000000000e+00,1.275329460110528612e-01
3.400000000000000000e+03,3.179941698908805847e-02,3.347351551055908203e+00,1.000000000000000000e+00,1.465211846393651707e-01
3.500000000000000000e+03,2.137391269207000732e-01,3.294068336486816406e+00,9.843750000000000000e-01,1.625336545274195799e-01
3.600000000000000000e+03,7.706557959318161011e-02,2.910698413848876953e+00,1.000000000000000000e+00,2.003684285106986096e-01
3.700000000000000000e+03,1.456266492605209351e-01,2.654279470443725586e+00,9.583333333333333703e-01,2.408955646875442780e-01
3.800000000000000000e+03,2.035208046436309814e-01,2.649539232254028320e+00,9.375000000000000000e-01,2.488309479948986880e-01
3.900000000000000000e+03,6.429348140954971313e-02,2.346469163894653320e+00,1.000000000000000000e+00,3.029615984129233608e-01
4.000000000000000000e+03,6.349103152751922607e-02,2.342602729797363281e+00,1.000000000000000000e+00,3.077795097066742258e-01
4.100000000000000000e+03,6.471298635005950928e-02,1.669497847557067871e+00,1.000000000000000000e+00,4.592603089131359062e-01
4.200000000000000000e+03,6.997074931859970093e-02,1.658379316329956055e+00,1.000000000000000000e+00,4.620943743800481895e-01
4.300000000000000000e+03,5.033011734485626221e-02,1.294356346130371094e+00,1.000000000000000000e+00,5.787161683434887127e-01
4.400000000000000000e+03,3.115388937294483185e-02,7.380716800689697266e-01,1.000000000000000000e+00,7.704406971801048831e-01
4.500000000000000000e+03,8.939694613218307495e-02,7.828310728073120117e-01,9.843750000000000000e-01,7.579708091256908142e-01
4.600000000000000000e+03,1.257397234439849854e-02,1.649926155805587769e-01,1.000000000000000000e+00,9.790279155448491366e-01
4.700000000000000000e+03,3.943985328078269958e-03,4.189794138073921204e-02,1.000000000000000000e+00,9.998582967266543831e-01
4.800000000000000000e+03,3.366564167663455009e-03,3.243238106369972229e-02,1.000000000000000000e+00,1.000000000000000000e+00
4.900000000000000000e+03,1.506772707216441631e-03,2.127900719642639160e-02,1.000000000000000000e+00,9.997165934533087661e-01
5.000000000000000000e+03,5.812507588416337967e-03,3.958511054515838623e-01,1.000000000000000000e+00,8.981153464645033058e-01
5.100000000000000000e+03,4.491975996643304825e-03,1.595254801213741302e-02,1.000000000000000000e+00,9.998582967266543831e-01
5.200000000000000000e+03,2.611530479043722153e-03,7.652364205569028854e-03,1.000000000000000000e+00,9.998582967266543831e-01
5.300000000000000000e+03,2.157031092792749405e-03,5.107798147946596146e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.400000000000000000e+03,1.323655131272971630e-03,2.601556712761521339e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000000e+03,5.213050753809511662e-04,1.032925327308475971e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.600000000000000000e+03,2.466335427016019821e-04,4.185854340903460979e-04,1.000000000000000000e+00,1.000000000000000000e+00
5.700000000000000000e+03,6.908754110336303711e-01,1.045701384544372559e+00,8.281250000000000000e-01,6.844268102593169534e-01
5.800000000000000000e+03,2.286904258653521538e-03,4.684620536863803864e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.900000000000000000e+03,1.625242759473621845e-03,2.848296659067273140e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+03,1.330570084974169731e-03,2.006844617426395416e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.100000000000000000e+03,1.072403742000460625e-03,1.321237068623304367e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.200000000000000000e+03,5.541237769648432732e-04,6.598556647077202797e-04,1.000000000000000000e+00,1.000000000000000000e+00
6.300000000000000000e+03,2.361449296586215496e-04,2.790317812468856573e-04,1.000000000000000000e+00,1.000000000000000000e+00
6.400000000000000000e+03,1.095596308005042374e-04,1.392878766637295485e-04,1.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+03,9.473170153796672821e-03,1.030262466520071030e-02,1.000000000000000000e+00,9.995748901799631492e-01
6.600000000000000000e+03,1.710083102807402611e-03,2.581598237156867981e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.700000000000000000e+03,1.239682780578732491e-03,1.762604573741555214e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.800000000000000000e+03,1.108302851207554340e-03,1.246469677425920963e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.900000000000000000e+03,6.385911256074905396e-04,7.483207737095654011e-04,1.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+03,3.022213059011846781e-04,3.217816702090203762e-04,1.000000000000000000e+00,1.000000000000000000e+00
7.100000000000000000e+03,1.228465407621115446e-04,1.321432500844821334e-04,1.000000000000000000e+00,1.000000000000000000e+00
7.200000000000000000e+03,3.378147780895233154e-01,1.805959641933441162e-01,8.906250000000000000e-01,9.593311605498087147e-01
7.300000000000000000e+03,2.551573561504483223e-03,4.216870758682489395e-03,1.000000000000000000e+00,9.998582967266543831e-01
7.400000000000000000e+03,1.907823607325553894e-03,2.931408584117889404e-03,1.000000000000000000e+00,9.998582967266543831e-01
7.500000000000000000e+03,1.648650737479329109e-03,2.044436521828174591e-03,1.000000000000000000e+00,1.000000000000000000e+00
7.600000000000000000e+03,1.115609309636056423e-03,1.223761355504393578e-03,1.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000000e+03,4.780342278536409140e-04,5.168531206436455250e-04,1.000000000000000000e+00,1.000000000000000000e+00
7.800000000000000000e+03,1.856630115071311593e-04,2.033295750152319670e-04,1.000000000000000000e+00,1.000000000000000000e+00
7.900000000000000000e+03,2.882645092904567719e-02,4.074721410870552063e-02,1.000000000000000000e+00,9.963157148930140705e-01
8.000000000000000000e+03,2.183577744290232658e-03,3.108983859419822693e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.100000000000000000e+03,1.737640704959630966e-03,2.239511115476489067e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.200000000000000000e+03,1.511763897724449635e-03,1.649385900236666203e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.300000000000000000e+03,8.668889058753848076e-04,9.349092142656445503e-04,1.000000000000000000e+00,1.000000000000000000e+00
8.400000000000000000e+03,3.774312499444931746e-04,3.999871842097491026e-04,1.000000000000000000e+00,1.000000000000000000e+00
8.500000000000000000e+03,1.507842098362743855e-04,1.654397201491519809e-04,1.000000000000000000e+00,1.000000000000000000e+00
8.600000000000000000e+03,2.594389915466308594e-01,3.672955930233001709e-02,9.687500000000000000e-01,9.961740116196684536e-01
8.700000000000000000e+03,1.677116262726485729e-03,2.245123498141765594e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.800000000000000000e+03,1.469016890041530132e-03,1.822853344492614269e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.900000000000000000e+03,1.313249696977436543e-03,1.394731109030544758e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+03,8.132494403980672359e-04,8.695533615536987782e-04,1.000000000000000000e+00,1.000000000000000000e+00
9.100000000000000000e+03,3.592856228351593018e-04,3.754275385290384293e-04,1.000000000000000000e+00,1.000000000000000000e+00
9.200000000000000000e+03,1.502045925008133054e-04,1.525850238977000117e-04,1.000000000000000000e+00,1.000000000000000000e+00
9.300000000000000000e+03,6.032170057296752930e-01,6.697131991386413574e-01,8.593750000000000000e-01,7.905625619951820449e-01
9.400000000000000000e+03,1.965065486729145050e-03,4.577768500894308090e-03,1.000000000000000000e+00,9.998582967266543831e-01
9.500000000000000000e+03,1.480262610130012035e-03,3.022098448127508163e-03,1.000000000000000000e+00,9.998582967266543831e-01
9.600000000000000000e+03,1.260987366549670696e-03,1.671359292231500149e-03,1.000000000000000000e+00,9.998582967266543831e-01
9.700000000000000000e+03,9.283420513384044170e-04,1.024751458317041397e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.800000000000000000e+03,5.212152027525007725e-04,5.036083748564124107e-04,1.000000000000000000e+00,1.000000000000000000e+00
9.900000000000000000e+03,2.074008807539939880e-04,2.049692702712491155e-04,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+04,8.329933189088478684e-05,8.615512342657893896e-05,1.000000000000000000e+00,1.000000000000000000e+00
1.010000000000000000e+04,8.421853184700012207e-03,1.486388687044382095e-02,1.000000000000000000e+00,9.997165934533087661e-01
1.020000000000000000e+04,1.719288993626832962e-03,4.491908475756645203e-03,1.000000000000000000e+00,9.997165934533087661e-01
1.030000000000000000e+04,1.212825416587293148e-03,3.771498566493391991e-03,1.000000000000000000e+00,9.997165934533087661e-01
1.040000000000000000e+04,1.044255332089960575e-03,2.548720454797148705e-03,1.000000000000000000e+00,9.998582967266543831e-01
1.050000000000000000e+04,7.021051715128123760e-04,1.151187112554907799e-03,1.000000000000000000e+00,9.998582967266543831e-01
1.060000000000000000e+04,2.807931741699576378e-04,3.086824726779013872e-04,1.000000000000000000e+00,1.000000000000000000e+00
1.070000000000000000e+04,1.211517810588702559e-04,1.214541480294428766e-04,1.000000000000000000e+00,1.000000000000000000e+00
1.080000000000000000e+04,1.886136531829833984e-01,2.394556254148483276e-01,9.687500000000000000e-01,9.454442397619384764e-01
1.090000000000000000e+04,1.642102724872529507e-03,2.555669052526354790e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+04,1.382109010592103004e-03,1.825516810640692711e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.110000000000000000e+04,1.155510894022881985e-03,1.275088055990636349e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.120000000000000000e+04,8.524886216036975384e-04,8.759510237723588943e-04,1.000000000000000000e+00,1.000000000000000000e+00
1.130000000000000000e+04,3.956194268539547920e-04,4.056238685734570026e-04,1.000000000000000000e+00,1.000000000000000000e+00
1.140000000000000000e+04,1.614809880265966058e-04,1.705090253381058574e-04,1.000000000000000000e+00,1.000000000000000000e+00
1.150000000000000000e+04,6.575463339686393738e-05,7.140349043766036630e-05,1.000000000000000000e+00,1.000000000000000000e+00
1.160000000000000000e+04,2.112874388694763184e-02,2.314892411231994629e-02,1.000000000000000000e+00,9.974493410797788950e-01
1.170000000000000000e+04,1.245466875843703747e-03,1.757678808644413948e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.180000000000000000e+04,1.197502599097788334e-03,1.371757825836539268e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.190000000000000000e+04,9.207163820974528790e-04,1.006702892482280731e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+04,6.359359249472618103e-04,6.665308028459548950e-04,1.000000000000000000e+00,1.000000000000000000e+00
1.210000000000000000e+04,2.620629675220698118e-04,2.949307963717728853e-04,1.000000000000000000e+00,1.000000000000000000e+00
1.220000000000000000e+04,1.212821589433588088e-04,1.196639277623035014e-04,1.000000000000000000e+00,1.000000000000000000e+00
