# step,train_loss,test_loss,train_acc,test_acc
1.000000000000000000e+02,4.815344810485839844e+00,4.756989479064941406e+00,1.785714285714285615e-02,8.040096063485433972e-03
2.000000000000000000e+02,4.736326694488525391e+00,4.756231784820556641e+00,0.000000000000000000e+00,8.144512895478751499e-03
3.000000000000000000e+02,4.717691898345947266e+00,4.747992992401123047e+00,0.000000000000000000e+00,6.995927743552260436e-03
4.000000000000000000e+02,4.714547157287597656e+00,4.784376144409179688e+00,1.785714285714285615e-02,6.369426751592357008e-03
5.000000000000000000e+02,4.673520088195800781e+00,4.913424015045166016e+00,1.785714285714285615e-02,4.072256447739375750e-03
6.000000000000000000e+02,4.542463779449462891e+00,5.033660411834716797e+00,3.571428571428571230e-02,2.610420799832932973e-03
7.000000000000000000e+02,4.371034622192382812e+00,5.118041038513183594e+00,1.785714285714285615e-02,2.297170303852981259e-03
8.000000000000000000e+02,4.330303668975830078e+00,5.196328163146972656e+00,3.571428571428571230e-02,2.506003967839615879e-03
9.000000000000000000e+02,4.131117820739746094e+00,5.289247035980224609e+00,8.928571428571428770e-02,2.819254463819567593e-03
1.000000000000000000e+03,3.929706573486328125e+00,5.343414783477783203e+00,1.250000000000000000e-01,3.654589119766106509e-03
1.100000000000000000e+03,3.770202159881591797e+00,5.381246566772460938e+00,1.428571428571428492e-01,4.385506943719327463e-03
1.200000000000000000e+03,3.388843297958374023e+00,4.840623378753662109e+00,1.607142857142857262e-01,1.127701785527827037e-02
1.300000000000000000e+03,2.938085794448852539e+00,4.280091285705566406e+00,1.964285714285714246e-01,2.192753471859663905e-02
1.400000000000000000e+03,2.526467561721801758e+00,4.246571540832519531e+00,3.750000000000000000e-01,2.391145452646966860e-02
1.500000000000000000e+03,2.340705871582031250e+00,4.268700599670410156e+00,3.928571428571428492e-01,3.184713375796178331e-02
1.600000000000000000e+03,1.936277985572814941e+00,4.344338417053222656e+00,5.178571428571429047e-01,3.717239218962097025e-02
1.700000000000000000e+03,2.014105081558227539e+00,4.446584224700927734e+00,4.642857142857143016e-01,3.644147436566774756e-02
1.800000000000000000e+03,1.601993799209594727e+00,4.557943820953369141e+00,6.071428571428570953e-01,3.811214367756082105e-02
1.900000000000000000e+03,1.379975318908691406e+00,4.704300403594970703e+00,6.250000000000000000e-01,4.448157042915317633e-02
2.000000000000000000e+03,1.253353714942932129e+00,4.640652656555175781e+00,6.607142857142856984e-01,5.074658034875222101e-02
2.100000000000000000e+03,1.159049153327941895e+00,4.783380508422851562e+00,7.142857142857143016e-01,5.335700114858515225e-02
2.200000000000000000e+03,1.073503851890563965e+00,4.814245223999023438e+00,7.500000000000000000e-01,5.878667641223764978e-02
2.300000000000000000e+03,7.537335157394409180e-01,4.621327877044677734e+00,8.750000000000000000e-01,7.632870418711495963e-02
2.400000000000000000e+03,7.060631513595581055e-01,4.634597301483154297e+00,8.392857142857143016e-01,7.779053983502140501e-02
2.500000000000000000e+03,7.235364317893981934e-01,4.349325656890869141e+00,8.750000000000000000e-01,9.815182207371828116e-02
2.600000000000000000e+03,4.246640801429748535e-01,3.727785348892211914e+00,9.642857142857143016e-01,1.503602380703769337e-01
2.700000000000000000e+03,2.565553784370422363e-01,3.109883546829223633e+00,9.821428571428570953e-01,2.240785214576589690e-01
2.800000000000000000e+03,1.911917030811309814e-01,2.076197385787963867e+00,9.821428571428570953e-01,4.062858932859976790e-01
2.900000000000000000e+03,1.578034162521362305e-01,1.274043083190917969e+00,9.821428571428570953e-01,6.320350840555497562e-01
3.000000000000000000e+03,7.495655864477157593e-02,6.066315770149230957e-01,1.000000000000000000e+00,8.485955936096898355e-01
3.100000000000000000e+03,6.246691197156906128e-02,4.352699220180511475e-01,1.000000000000000000e+00,9.051895165500678520e-01
3.200000000000000000e+03,3.607770428061485291e-02,1.229736879467964172e-01,1.000000000000000000e+00,9.879920643207684705e-01
3.300000000000000000e+03,4.925414454191923141e-03,2.240874432027339935e-02,1.000000000000000000e+00,9.998955831680066408e-01
3.400000000000000000e+03,4.535380285233259201e-03,1.392833795398473740e-02,1.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+03,1.115356460213661194e-01,1.610195189714431763e-01,9.821428571428570953e-01,9.751487939855905118e-01
3.600000000000000000e+03,5.880893208086490631e-03,1.299082860350608826e-02,1.000000000000000000e+00,1.000000000000000000e+00
3.700000000000000000e+03,4.541121423244476318e-03,9.228081442415714264e-03,1.000000000000000000e+00,1.000000000000000000e+00
3.800000000000000000e+03,3.014780580997467041e-03,4.994968883693218231e-03,1.000000000000000000e+00,1.000000000000000000e+00
3.900000000000000000e+03,2.491536438465118408e-01,3.078860044479370117e-01,8.928571428571429047e-01,9.247154641328182434e-01
4.000000000000000000e+03,4.910984542220830917e-03,7.530971430242061615e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.100000000000000000e+03,4.081909079104661942e-03,5.734019447118043900e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.200000000000000000e+03,2.874815138056874275e-03,3.817846067249774933e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.300000000000000000e+03,1.514491275884211063e-03,2.268203301355242729e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.400000000000000000e+03,1.216478645801544189e-02,1.365432050079107285e-02,1.000000000000000000e+00,9.998955831680066408e-01
4.500000000000000000e+03,3.666086820885539055e-03,4.924719687551259995e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.600000000000000000e+03,3.232734976336359978e-03,3.782958025112748146e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.700000000000000000e+03,2.079410012811422348e-03,2.152042929083108902e-03,1.000000000000000000e+00,1.000000000000000000e+00
4.800000000000000000e+03,3.885876536369323730e-01,4.441781342029571533e-01,9.285714285714286031e-01,8.799206432076850382e-01
4.900000000000000000e+03,3.725059097632765770e-03,5.716797430068254471e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+03,4.006683360785245895e-03,4.522418137639760971e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.100000000000000000e+03,2.651772694662213326e-03,3.029063576832413673e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.200000000000000000e+03,1.457661273889243603e-03,1.583164208568632603e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.300000000000000000e+03,7.939157634973526001e-02,7.043416798114776611e-02,9.821428571428570953e-01,9.928996554244544637e-01
5.400000000000000000e+03,3.940589260309934616e-03,5.391147453337907791e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000000e+03,3.809812711551785469e-03,4.348048474639654160e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.600000000000000000e+03,2.452053828164935112e-03,2.527104690670967102e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.700000000000000000e+03,4.776404500007629395e-01,5.328305363655090332e-01,8.571428571428570953e-01,8.492220946016497685e-01
5.800000000000000000e+03,5.338665097951889038e-03,6.220269482582807541e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.900000000000000000e+03,3.319129813462495804e-03,4.298922140151262283e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+03,2.462015254423022270e-03,2.900304272770881653e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.100000000000000000e+03,1.382737071253359318e-03,1.519664772786200047e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.200000000000000000e+03,2.252155542373657227e-01,1.980619281530380249e-01,9.285714285714286031e-01,9.575023493787198081e-01
6.300000000000000000e+03,3.713110461831092834e-03,4.876120947301387787e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.400000000000000000e+03,3.102164249867200851e-03,3.967442084103822708e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+03,2.280153334140777588e-03,2.511861734092235565e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.600000000000000000e+03,1.202537794597446918e-03,1.494606141932308674e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.700000000000000000e+03,1.273328252136707306e-02,1.743229106068611145e-02,1.000000000000000000e+00,1.000000000000000000e+00
6.800000000000000000e+03,4.142698366194963455e-03,4.869215190410614014e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.900000000000000000e+03,2.857436193153262138e-03,3.486604196950793266e-03,1.000000000000000000e+00,1.000000000000000000e+00
